id,title,description,link,image_link,availability,price,brand,condition,gtin,mpn,google_product_category,item_group_id,size,color,material,age_group,gender
liberty-tee-xs,Liberty Tee — Supima Cotton (XS),"Supima cotton tee in Liberty Green. Top ~1% U.S. cotton fiber. Softer, longer lasting, built to hold color. Square Bidness standard.",https://www.squarebidness.com/liberty/,https://www.squarebidness.com/liberty/assets/liberty-tee.jpg,in stock,35.00 USD,Square Bidness,new,,liberty-tee-xs,Apparel & Accessories > Clothing > Shirts & Tops,liberty-tee,XS,Liberty Green,Supima cotton,adult,unisex
liberty-tee-s,Liberty Tee — Supima Cotton (S),"Supima cotton tee in Liberty Green. Top ~1% U.S. cotton fiber. Softer, longer lasting, built to hold color. Square Bidness standard.",https://www.squarebidness.com/liberty/,https://www.squarebidness.com/liberty/assets/liberty-tee.jpg,in stock,35.00 USD,Square Bidness,new,,liberty-tee-s,Apparel & Accessories > Clothing > Shirts & Tops,liberty-tee,S,Liberty Green,Supima cotton,adult,unisex
liberty-tee-m,Liberty Tee — Supima Cotton (M),"Supima cotton tee in Liberty Green. Top ~1% U.S. cotton fiber. Softer, longer lasting, built to hold color. Square Bidness standard.",https://www.squarebidness.com/liberty/,https://www.squarebidness.com/liberty/assets/liberty-tee.jpg,out of stock,35.00 USD,Square Bidness,new,,liberty-tee-m,Apparel & Accessories > Clothing > Shirts & Tops,liberty-tee,M,Liberty Green,Supima cotton,adult,unisex
liberty-tee-l,Liberty Tee — Supima Cotton (L),"Supima cotton tee in Liberty Green. Top ~1% U.S. cotton fiber. Softer, longer lasting, built to hold color. Square Bidness standard.",https://www.squarebidness.com/liberty/,https://www.squarebidness.com/liberty/assets/liberty-tee.jpg,out of stock,35.00 USD,Square Bidness,new,,liberty-tee-l,Apparel & Accessories > Clothing > Shirts & Tops,liberty-tee,L,Liberty Green,Supima cotton,adult,unisex
liberty-tee-xl,Liberty Tee — Supima Cotton (XL),"Supima cotton tee in Liberty Green. Top ~1% U.S. cotton fiber. Softer, longer lasting, built to hold color. Square Bidness standard.",https://www.squarebidness.com/liberty/,https://www.squarebidness.com/liberty/assets/liberty-tee.jpg,in stock,35.00 USD,Square Bidness,new,,liberty-tee-xl,Apparel & Accessories > Clothing > Shirts & Tops,liberty-tee,XL,Liberty Green,Supima cotton,adult,unisex
liberty-tee-2x,Liberty Tee — Supima Cotton (2XL),"Supima cotton tee in Liberty Green. Top ~1% U.S. cotton fiber. Softer, longer lasting, built to hold color. Square Bidness standard.",https://www.squarebidness.com/liberty/,https://www.squarebidness.com/liberty/assets/liberty-tee.jpg,in stock,35.00 USD,Square Bidness,new,,liberty-tee-2x,Apparel & Accessories > Clothing > Shirts & Tops,liberty-tee,2XL,Liberty Green,Supima cotton,adult,unisex
liberty-tee-3x,Liberty Tee — Supima Cotton (3XL),"Supima cotton tee in Liberty Green. Top ~1% U.S. cotton fiber. Softer, longer lasting, built to hold color. Square Bidness standard.",https://www.squarebidness.com/liberty/,https://www.squarebidness.com/liberty/assets/liberty-tee.jpg,in stock,35.00 USD,Square Bidness,new,,liberty-tee-3x,Apparel & Accessories > Clothing > Shirts & Tops,liberty-tee,3XL,Liberty Green,Supima cotton,adult,unisex
