id,title,description,link,image_link,price,availability,condition,brand,google_product_category,shipping_label
sb-vsop-jacket,VSOP Hooded Jacket — Burgundy + Brown,"Premium Square Bidness VSOP hooded jacket, burgundy and brown colorway with embroidered logo.",https://www.squarebidness.com/product-vsop-jacket/,https://www.squarebidness.com/assets/vsop-jacket.jpg,89.99 USD,in stock,new,Square Bidness Apparel,1604,FreeUS
sb-vsop-shorts,VSOP Shorts — Burgundy + Brown,"Matching VSOP shorts in burgundy and brown with embroidered Square Bidness logo.",https://www.squarebidness.com/product-vsop-shorts/,https://www.squarebidness.com/assets/vsop-shorts.jpg,49.99 USD,in stock,new,Square Bidness Apparel,204,FreeUS
sb-logo-tee,Classic Logo Tee,"Square Bidness classic logo t-shirt, 100% cotton, everyday essential.",https://www.squarebidness.com/products/logo-tee.html,https://www.squarebidness.com/images/logo-tee.jpg,29.99 USD,in stock,new,Square Bidness Apparel,212,FreeUS
